codigo_do_usuario,criador,data_recebido,data_de_perda,data_de_ganho,tipo_de_venda,passagem,canal_de_aquisicao,docs_italiano,parente_italiano
14399,automacao,2023-06-25,2023-07-05,,1venda - site,nao,midia paga,algumas certidoes de nascimento/casamento/obito,nao informado
14400,automacao,2023-06-25,2023-06-25,,retorno,nao,parcerias,"nenhum, mas sei onde obter documentos",nao informado
14401,automacao,2023-06-25,2023-06-26,,1venda - site,nao,midia paga,algumas certidoes de nascimento/casamento/obito,nao informado
14402,automacao,2023-06-25,2023-06-25,,1venda - site,nao,midia organica,tenho todos os documentos,nao informado
14403,automacao,2023-06-25,2023-07-03,,1venda - site,nao,midia paga,"nenhum, mas sei onde obter documentos",nao informado
14404,automacao,2023-06-25,2023-07-03,,1venda - site,nao,midia paga,algumas certidoes de nascimento/casamento/obito,nao informado
14405,automacao,2023-06-25,2023-06-25,,1venda - site,nao,midia paga,nenhum e nao sei por onde comecar,nao informado
14406,automacao,2023-06-25,2023-07-03,,1venda - site,nao,midia paga,nenhum e nao sei por onde comecar,nao informado
14407,automacao,2023-06-25,2023-07-02,,1venda - site,nao,midia paga,algumas certidoes de nascimento/casamento/obito,nao informado
14408,automacao,2023-06-25,2023-06-25,,1venda - site,nao,midia paga,nenhum e nao sei por onde comecar,nao informado
14409,automacao,2023-06-25,2023-06-25,,retorno,nao,midia paga,nenhum e nao sei por onde comecar,nao informado
14410,automacao,2023-06-25,2023-07-03,,1venda - site,nao,midia paga,nenhum e nao sei por onde comecar,nao informado
14411,automacao,2023-06-25,2023-06-25,,1venda - site,nao,midia paga,nenhum e nao sei por onde comecar,nao informado
14412,automacao,2023-06-25,2023-07-03,,1venda - site,nao,midia paga,nenhum e nao sei por onde comecar,nao informado
14413,automacao,2023-07-03,2023-07-11,,retorno,nao,midia organica,nenhum e nao sei por onde comecar,nao informado
14414,automacao,2023-06-25,2023-06-25,,1venda - site,nao,midia paga,nenhum e nao sei por onde comecar,nao informado
14415,automacao,2023-06-25,2023-07-03,,1venda - site,nao,midia paga,"nenhum, mas sei onde obter documentos",nao informado
14416,automacao,2023-06-25,2023-07-03,,1venda - site,nao,midia paga,"nenhum, mas sei onde obter documentos",nao informado
14417,automacao,2023-06-25,2023-07-02,,1venda - site,nao,midia paga,algumas certidoes de nascimento/casamento/obito,nao informado
14418,automacao,2023-06-25,2023-06-29,,1venda - site,nao,midia paga,algumas certidoes de nascimento/casamento/obito,nao informado
14419,automacao,2023-06-25,2023-07-10,,1venda - site,Sim,,algumas certidoes de nascimento/casamento/obito,nao informado
14420,automacao,2023-06-25,2023-07-03,,1venda - site,nao,midia paga,"nenhum, mas meu parente ja tirou a cidadania",nao informado
14421,vendedor loja,2023-06-25,2023-06-26,,1venda - manual,nao,indicacao,,nao informado
14422,automacao,2023-06-25,2023-06-26,,1venda - site,nao,outros,tenho todos os documentos,nao informado
14423,automacao,2023-06-25,2023-07-03,,1venda - site,nao,midia paga,nenhum e nao sei por onde comecar,nao informado
14424,vendedor loja,2023-06-25,2023-07-12,,,Sim,,,nao informado
14425,automacao,2023-06-25,2023-07-01,,retorno,nao,midia paga,algumas certidoes de nascimento/casamento/obito,nao informado
14426,vendedor loja,2023-06-25,2023-07-12,,1venda - manual,Sim,,,nao informado
14427,automacao,2023-06-25,2023-07-19,,1venda - site,Sim,midia paga,algumas certidoes de nascimento/casamento/obito,nao informado
14428,automacao,2023-06-25,2023-07-02,,1venda - site,nao,midia paga,algumas certidoes de nascimento/casamento/obito,nao informado
14429,automacao,2023-06-25,2023-07-03,,1venda - site,nao,midia paga,"nenhum, mas sei onde obter documentos",nao informado
14430,automacao,2023-06-25,2023-06-29,,1venda - site,nao,midia paga,algumas certidoes de nascimento/casamento/obito,nao informado
14431,vendedor loja,2023-06-25,,2023-07-05,1venda - manual,Sim,,,nao informado
14432,automacao,2023-06-25,2023-06-27,,1venda - site,nao,midia paga,algumas certidoes de nascimento/casamento/obito,nao informado
14433,automacao,2023-06-25,2023-07-09,,1venda - site,Sim,midia paga,algumas certidoes de nascimento/casamento/obito,nao informado
14434,automacao,2023-06-25,2023-07-01,,1venda - site,nao,parcerias,algumas certidoes de nascimento/casamento/obito,nao informado
14435,automacao,2023-06-25,2023-06-26,,1venda - site,nao,midia paga,tenho todos os documentos,nao informado
14436,vendedor loja,2023-06-25,2023-11-15,,,Sim,,,nao informado
14437,automacao,2023-06-25,2023-07-04,,1venda - site,nao,midia paga,"nenhum, mas meu parente ja tirou a cidadania",nao informado
14438,automacao,2023-06-25,2023-07-03,,1venda - site,nao,midia paga,"nenhum, mas sei onde obter documentos",nao informado
14439,automacao,2023-06-25,2023-06-25,,1venda - site,nao,midia paga,nenhum e nao sei por onde comecar,nao informado
14440,automacao,2023-06-25,2023-07-03,,1venda - site,nao,midia paga,nenhum e nao sei por onde comecar,nao informado
14441,automacao,2023-12-26,,,retorno,Sim,midia paga,algumas certidoes de nascimento/casamento/obito,nao informado
14442,automacao,2023-06-25,2023-07-03,,1venda - site,nao,midia paga,nenhum e nao sei por onde comecar,nao informado
14443,automacao,2023-06-25,2023-07-03,,1venda - site,nao,redes sociais,"nenhum, mas meu parente ja tirou a cidadania",nao informado
